Date,Team 1,Score,Team 2
30 November 2023,Abha Club,3 - 2,Al-Okhdood Club
30 November 2023,AL Ettifaq FC,0 - 0,Al Raed
30 November 2023,Al Nassr,2 - 0,Al-Khaleej Club
30 November 2023,Al Fateh FC,0 - 2,Al Hilal
30 November 2023,Al Shabab,1 - 0,Al Ittihad
30 November 2023,Al-Tai FC,3 - 3,Al Feiha
30 November 2023,Abha Club,2 - 1,Al Shabab
30 November 2023,Al Feiha,1 - 3,Al Nassr
30 November 2023,Al Wahda,2 - 3,AL Ettifaq FC
30 November 2023,Al Hilal,3 - 1,Al-Ahli
30 November 2023,Al Raed,1 - 2,Al Fateh FC
30 November 2023,Al-Tai FC,3 - 2,Al-Riyadh SC
30 November 2023,Al Ittihad,2 - 2,AL Hazem FC
30 November 2023,Al-Khaleej Club,1 - 1,Al Taawon
30 November 2023,Damac FC,2 - 0,Al-Okhdood Club
30 November 2023,Al-Riyadh SC,1 - 0,AL Ettifaq FC
30 November 2023,Al-Ahli,3 - 1,Al Wahda
30 November 2023,AL Hazem FC,4 - 3,Al Raed
30 November 2023,Al Nassr,2 - 1,Damac FC
30 November 2023,Al Shabab,2 - 0,Al-Tai FC
30 November 2023,Al-Okhdood Club,1 - 2,Al Feiha
30 November 2023,Al Fateh FC,4 - 1,Abha Club
30 November 2023,Al Hilal,1 - 0,Al-Khaleej Club
30 November 2023,Al Taawon,1 - 1,Al Ittihad
30 November 2023,Al-Okhdood Club,0 - 3,Al Hilal
30 November 2023,Al-Khaleej Club,0 - 0,Al Raed
30 November 2023,Al Wahda,1 - 1,Al Feiha
30 November 2023,Al Ittihad,0 - 1,Al-Ahli
30 November 2023,Al Nassr,2 - 2,Abha Club
30 November 2023,AL Ettifaq FC,1 - 2,Al Fateh FC
30 November 2023,Al-Riyadh SC,2 - 2,Al Shabab
30 November 2023,Al Taawon,3 - 0,Al-Tai FC
30 November 2023,Damac FC,4 - 1,AL Hazem FC
30 November 2023,Abha Club,0 - 1,Al-Riyadh SC
30 November 2023,Al-Ahli,0 - 0,AL Ettifaq FC
30 November 2023,Al Fateh FC,5 - 1,Al Wahda
30 November 2023,Al-Khaleej Club,0 - 2,Damac FC
30 November 2023,Al Raed,1 - 2,Al-Okhdood Club
30 November 2023,Al Feiha,0 - 0,Al Ittihad
30 November 2023,AL Hazem FC,1 - 3,Al Taawon
30 November 2023,Al Hilal,2 - 0,Al Shabab
30 November 2023,Al-Tai FC,1 - 2,Al Nassr
22 September 2023,Al-Okhdood Club,0 - 1,Al-Khaleej Club
22 September 2023,Al Nassr,4 - 3,Al-Ahli
22 September 2023,Al-Riyadh SC,1 - 3,Al Feiha
17 February 2024,AL Hazem FC,1 - 3,Al Feiha
17 February 2024,Al Nassr,2 - 1,Al Fateh FC
17 February 2024,Al-Okhdood Club,3 - 2,Al-Ahli
22 September 2023,Al Wahda,4 - 0,Abha Club
22 September 2023,AL Ettifaq FC,4 - 3,Al-Tai FC
